瘤痢,瘤痢疙,老矫,乞闭扁柯(∑C),弥历扁柯(∑C),弥绊扁柯(∑C),碍荐 拌加矫埃(hr),10盒 弥促 碍荐樊(mm),1矫埃 弥促碍荐樊(mm),老碍荐樊(mm),弥措 鉴埃 浅加(m/s),弥措 鉴埃 浅加 浅氢(16规困),弥措 浅加(m/s),弥措 浅加 浅氢(16规困),乞闭 浅加(m/s),浅沥钦(100m),弥促浅氢(16规困),乞闭 捞浇痢柯档(∑C),弥家 惑措嚼档(%),乞闭 惑措嚼档(%),乞闭 刘扁拘(hPa),乞闭 泅瘤扁拘(hPa),弥绊 秦搁扁拘(hPa),弥历 秦搁扁拘(hPa),乞闭 秦搁扁拘(hPa),啊炼矫埃(hr),钦拌 老炼矫埃(hr),1矫埃 弥促老荤樊(MJ/m2),钦拌 老荤樊(MJ/m2),乞闭 傈款樊(1/10),乞闭 吝窍摸款樊(1/10),乞闭 瘤搁柯档(∑C),弥历 檬惑柯档(∑C),钦拌 措屈刘惯樊(mm),钦拌 家屈刘惯樊(mm),9-9碍荐(mm)
184,力林,1982-02-28,9.6,5,13.7,,,,,12,20,6.7,20,3.3,2820,70,3.9,50,68.5,8.3,1014,1020.8,1014.3,1016.9,11.4,.7,,9.89,6.5,-999,9.6,-.3,,2.4,.1
184,力林,1982-03-01,6.5,3.9,9.2,.37,.1,.1,.1,17.5,290,11.3,290,6.8,5892,290,1.5,56,70.5,6.9,1014.8,1022.7,1013.6,1017.6,11.4,1,,3.88,9.5,-999,5.8,1.5,,2.7,
184,力林,1982-03-02,5.9,3,8.6,,,,,15.4,290,9,290,5,4306,290,-2.4,45,55,5.1,1020.7,1024.7,1022.5,1023.7,11.5,9.7,,19.6,3.3,-999,7.1,-3.9,,3.2,
184,力林,1982-03-03,6.7,0,11.4,,,,,6.5,360,4.2,360,2.3,1966,140,-1.1,45,58.3,5.7,1020.2,1026.1,1019.8,1023.2,11.5,10.1,,18.35,6,-999,7.9,-7.4,,3.2,.2
184,力林,1982-03-04,12.8,5.7,18.4,11.38,1,4.2,14.4,24.1,180,15,180,5.2,4506,110,8.7,54,77,11.7,1008.6,1020.2,1005.3,1011.4,11.5,.6,,3.29,8.5,-999,11.7,1.5,,1.1,14.2
184,力林,1982-03-05,8.7,6.2,12.4,,,,,12.2,250,7,250,3.8,3246,270,4.3,50,74.8,8.5,1008.3,1015.9,1006.6,1011.3,11.6,1.6,,6.66,10,-999,9.5,5.3,,1.7,
184,力林,1982-03-06,5.4,3,7.5,,,,,11.2,340,7,340,4.2,3668,290,-5.4,32,46.8,4.2,1017.5,1024.3,1015.8,1020.4,11.6,9,,19.23,7.3,-999,8.6,-1.6,,4.3,
184,力林,1982-03-07,4.2,2.4,5.9,,,,,12.2,320,7,320,4.9,4257,320,-6.3,34,46.5,3.8,1021,1025.5,1022.8,1024,11.6,7.6,,14.92,7.3,-999,5.8,-3.1,,3.3,
184,力林,1982-03-08,6.1,1.7,9.2,,,,,11.6,270,7.3,290,4,3455,250,-3.6,37,50,4.7,1019.1,1024,1020,1022.1,11.7,10,,18.12,6.8,-999,7.8,-2.8,,3.5,
184,力林,1982-03-09,8.7,5.8,11.6,,,,,10.8,230,6,230,3.9,3344,270,2,55,62.8,7,1017.6,1021.6,1019.6,1020.6,11.7,8.4,,15.67,2.8,-999,9.8,-2.2,,3,
184,力林,1982-03-10,9.5,3.8,14.3,,,,,12.1,270,8,270,3.5,3006,270,-1.9,34,45.3,5.4,1017.5,1021.4,1018.9,1020.4,11.7,10.5,,21.52,0,-999,10.4,-2.2,,4.8,
184,力林,1982-03-11,11.2,3.7,16.9,,,,,12.9,90,6.3,90,3.3,2870,110,.3,32,47.3,6.5,1017.9,1022.8,1016.9,1020.8,11.8,10.1,,18.19,8.5,-999,12.1,-.8,,3.8,3
184,力林,1982-03-12,10.7,8,13.1,12.35,.6,1.9,9.8,14.7,110,6.7,20,3.9,3329,20,7.8,48,83,10.7,1013,1019.1,1012.9,1015.9,11.8,.8,,2.71,7.5,-999,9.5,1,,.9,6.8
